"From","To","from","to"
"PRKACA","NOS1",2292,1916
"CAMK4","NOS1",353,1916
"CAMK2A","NOS1",349,1916
"JAK1","TYK2",1402,3192
"CDK1","EEF1D",475,833
"PRKCA","MARCKS",2299,1661
"PRKCB","MARCKS",2300,1661
"PKN1","MARCKS",2174,1661
"PRKCG","PEBP1",2303,2096
"PRKCB","PEBP1",2300,2096
"PRKCA","PEBP1",2299,2096
"PRKCZ","PEBP1",2307,2096
"PRKCD","PEBP1",2301,2096
"PLK1","WEE1",2196,3293
"BRSK2","WEE1",308,3293
"BRSK1","WEE1",307,3293
"WEE1","WEE1",3293,3293
"PRKACA","MIP",2292,1726
"CDK1","CDC25A",475,449
"PIM1","CDC25A",2149,449
"CHEK1","CDC25A",552,449
"CHEK2","CDC25A",553,449
"CDK1","CDC25B",475,450
"CSNK2A1","CDC25B",636,450
"MELK","CDC25B",1711,450
"AURKA","CDC25B",227,450
"CDK1","CDC25C",475,451
"PLK1","CDC25C",2196,451
"CHEK1","CDC25C",552,451
"CHEK2","CDC25C",553,451
"MARK3","CDC25C",1665,451
"PKN1","CDC25C",2174,451
"MAPK14","CDC25C",1643,451
"BRSK2","CDC25C",308,451
"BRSK1","CDC25C",307,451
"PLK3","CDC25C",2198,451
"ADRBK2","BDKRB2",59,270
"ADRBK1","BDKRB2",58,270
"GRK4","BDKRB2",1155,270
"GRK5","BDKRB2",1156,270
"GRK6","BDKRB2",1157,270
"PRKCD","BDKRB2",2301,270
"FYN","NMT1",1050,1911
"LYN","NMT1",1583,1911
"CSNK2A1","HMOX2",636,1272
"AXL","AXL",235,235
"MAPK4","MAPK4",1646,1646
"CDK1","RRM2",475,2604
"PRKCA","SDC4",2299,2656
"PRKCD","SDC4",2301,2656
"PDPK1","AKT1",2089,88
"ILK","AKT1",1347,88
"PDK1","AKT1",2084,88
"CAMKK1","AKT1",354,88
"SRC","AKT1",2863,88
"PDPK1","AKT2",2089,90
"PRKCZ","YWHAB",2307,3331
"LYN","FCGR2B",1583,976
"BLK","FCGR2B",281,976
"RPS6KA1","L1CAM",2588,1513
"CSNK2A1","L1CAM",636,1513
"RPS6KA2","L1CAM",2589,1513
"CSNK2A2","ARRB2",637,182
"CSNK2A1","ARRB2",636,182
"ADRBK1","MC4R",58,1682
"PRKACA","MC4R",2292,1682
"PRKCQ","ICAM3",2306,1314
"PRKACA","CIITA",2292,566
"SRC","CDH5",2863,474
"MAPKAPK2","LSP1",1654,1576
"CDK1","DUT",475,803
"CDK1","MCM4",475,1687
"CDK2","MCM4",487,1687
"PRKCG","SDC2",2303,2654
"PRKCB","SDC2",2300,2654
"PRKCA","SDC2",2299,2654
"GRK5","GRK5",1156,1156
"CSNK2A1","CTNNB1",636,648
"GSK3B","CTNNB1",1164,648
"CSNK1A1","CTNNB1",629,648
"CSNK1D","CTNNB1",631,648
"CDK6","CTNNB1",495,648
"FYN","CTNNB1",1050,648
"FER","CTNNB1",980,648
"SRC","CTNNB1",2863,648
"MAPK3","PTPN7",1645,2373
"MAPK1","PTPN7",1638,2373
"MAPK14","PTPN7",1643,2373
"PRKACA","PTPN7",2292,2373
"PAK1","NF2",2021,1875
"ROCK1","RDX",2558,2489
"CAMK2G","SPR",352,2854
"PRKCA","ADRA1B",2299,53
"ADRBK1","OPRM1",58,1996
"ADRBK2","OPRM1",59,1996
"PRKCG","IRS1",2303,1376
"PRKCQ","IRS1",2306,1376
"PRKCD","IRS1",2301,1376
"IKBKB","IRS1",1333,1376
"MAPK8","IRS1",1649,1376
"MAPK1","IRS1",1638,1376
"SIK2","IRS1",2720,1376
"CSNK2A1","IRS1",636,1376
"JAK1","IRS1",1402,1376
"IGF1R","IRS1",1329,1376
"PRKACA","ADD1",2292,49
"PRKCD","ADD1",2301,49
"ROCK1","ADD1",2558,49
"PRKACA","ADD2",2292,50
"PRKCD","ADD2",2301,50
"CSNK2A1","DDIT3",636,707
"MAPK14","DDIT3",1643,707
"KDR","KDR",1462,1462
"PRKACA","GJA5",2292,1098
"MAP2K2","MAP2K2",1608,1608
"FLT3","FLT3",1013,1013
"TGFBR2","TGFBR1",3042,3041
"MAPK3","SREBF1",1645,2865
"MAPK1","SREBF1",1638,2865
"TGFBR2","TGFBR2",3042,3042
"MAPK1","PPARG",1638,2232
"MAPK8","PPARG",1649,2232
"ADRBK1","SNCA",58,2805
"CSNK2A2","SNCA",637,2805
"GRK5","SNCA",1156,2805
"CSNK1D","SNCA",631,2805
"CSNK2A1","SNCA",636,2805
"GRK6","SNCA",1157,2805
"FYN","SNCA",1050,2805
"LYN","SNCA",1583,2805
"FGR","SNCA",994,2805
"SYK","SNCA",2963,2805
"PTK2B","SNCA",2359,2805
"ATR","BRCA1",221,298
"ATM","BRCA1",209,298
"CDK2","BRCA1",487,298
"CSNK2A1","BRCA1",636,298
"AURKA","BRCA1",227,298
"CHEK2","BRCA1",553,298
"AKT1","BRCA1",88,298
"CDK2","COIL",487,597
"MAPK8","CDKN1A",1649,504
"AKT1","CDKN1A",88,504
"DAPK3","CDKN1A",682,504
"PIM1","CDKN1A",2149,504
"CDK1","FEN1",475,979
"CDK1","CUX1",475,658
"PRKCD","IL6ST",2301,1345
"LCK","CD79B",1530,443
"FYN","CD79B",1050,443
"LYN","CD79B",1583,443
"RPS6KA5","STAT3",2592,2900
"MAPK3","STAT3",1645,2900
"MAPK1","STAT3",1638,2900
"MAPK8","STAT3",1649,2900
"PRKCD","STAT3",2301,2900
"JAK2","STAT3",1403,2900
"HCK","STAT3",1225,2900
"SRC","STAT3",2863,2900
"FGFR4","STAT3",993,2900
"FGFR3","STAT3",992,2900
"JAK1","STAT3",1402,2900
"EPHA3","STAT3",895,2900
"PRKCA","OPRD1",2299,1993
"PRKCE","OPRD1",2302,1993
"PRKCD","OPRD1",2301,1993
"ADRBK1","OPRD1",58,1993
"PRKCG","CASR",2303,379
"PRKCB","CASR",2300,379
"PRKCA","CASR",2299,379
"PRKG1","RGS2",2312,2520
"CSNK2A2","PPP1R2",637,2259
"CSNK2A1","PPP1R2",636,2259
"GSK3B","PPP1R2",1164,2259
"CDK5","PPP1R2",492,2259
"PRKACA","CSK",2292,628
"CSK","CSK",628,628
"AKT1","MAP3K8",88,1628
"PRKCG","GRM5",2303,1160
"PRKCB","GRM5",2300,1160
"PRKCA","GRM5",2299,1160
"PRKCE","GRM5",2302,1160
"PRKCQ","GRM5",2306,1160
"PRKCZ","GRM5",2307,1160
"PRKCD","GRM5",2301,1160
"SRC","PRKCI",2863,2305
"MAPK8","ELK3",1649,869
"MAPK9","ELK3",1652,869
"MAPK14","ELK3",1643,869
"RPS6KA5","STAT1",2592,2898
"PRKCD","STAT1",2301,2898
"CAMK2G","STAT1",352,2898
"JAK2","STAT1",1403,2898
"EGFR","STAT1",838,2898
"LCK","STAT1",1530,2898
"KIT","STAT1",1485,2898
"FGFR4","STAT1",993,2898
"FGFR3","STAT1",992,2898
"JAK1","STAT1",1402,2898
"TYK2","STAT1",3192,2898
"JAK2","STAT5A",1403,2902
"BTK","STAT5A",312,2902
"CAMK2G","GRIA1",352,1146
"PRKCA","GRIA1",2299,1146
"PRKACA","GRIA1",2292,1146
"PRKCA","GRIA2",2299,1147
"RPS6KB1","MTOR",2594,1765
"AKT1","MTOR",88,1765
"RPS6KA1","MTOR",2588,1765
"MTOR","MTOR",1765,1765
"PRKAA1","MTOR",2289,1765
"EGFR","EPS15",838,910
"TEC","TEC",3017,3017
"FYN","TXK",1050,3189
"SRC","TXK",2863,3189
"TXK","TXK",3189,3189
"MAPK1","LIFR",1638,1540
"CSNK2A2","WAS",637,3281
"CSNK2A1","WAS",636,3281
"HCK","WAS",1225,3281
"BTK","WAS",312,3281
"SGK1","SLC1A3",2688,2750
"PRKCA","PTGIR",2299,2354
"GRK6","GRK6",1157,1157
"ABL1","RAD52",12,2421
"RPS6KA1","NR4A2",2588,1947
"ZAP70","ZAP70",3339,3339
"LCK","ZAP70",1530,3339
"LYN","SYK",1583,2963
"SYK","SYK",2963,2963
"CDK3","KIR3DL1",490,1483
"MAP3K5","TNNT2",1625,3085
"PRKCA","TNNT2",2299,3085
"MAP2K7","MAPK8",1613,1649
"RET","MAPK8",2502,1649
"MAP2K4","MAPK8",1610,1649
"MAP2K7","MAPK9",1613,1652
"RET","MAPK9",2502,1652
"MAP2K4","MAPK9",1610,1652
"MAP2K4","MAP2K4",1610,1610
"AKT1","MAP2K4",88,1610
"PRKACA","PHKA1",2292,2127
"CSNK2A1","RANGAP1",636,2438
"ABL1","CRK",12,614
"EGFR","CRK",838,614
"IGF1R","CRK",1329,614
"ABL2","CRK",13,614
"AKT1","CDKN1B",88,505
"CDK2","CDKN1B",487,505
"YES1","CDKN1B",3327,505
"SRC","CDKN1B",2863,505
"ABL1","CDKN1B",12,505
"LYN","CDKN1B",1583,505
"MAPK1","IER3",1638,1323
"MAPK14","PLA2G4A",1643,2180
"RPS6KA5","PLA2G4A",2592,2180
"MAPKAPK5","PLA2G4A",1656,2180
"MKNK1","PLA2G4A",1731,2180
"CDK1","RAP1GAP",475,2441
"PRKACA","RAP1GAP",2292,2441
"PRKCD","KCNJ1",2301,1435
"PRKCA","GRIA4",2299,1148
"PRKACA","GRIA4",2292,1148
"CAMK2G","GRIA4",352,1148
"PRKCA","SLC6A9",2299,2765
"CDK5","NES",492,1870
"CDK1","NES",475,1870
"PRKCE","SLC4A3",2302,2760
"MAPK8","PXN",1649,2387
"PTK2","PXN",2358,2387
"CSK","PXN",628,2387
"MAPK14","MAPKAPK2",1643,1654
"MAPK3","ARRB1",1645,181
"MAPK1","ARRB1",1638,181
"CDK1","AMPH",475,106
"CDK5","AMPH",492,106
"AURKB","CENPA",229,517
"CDK1","UBE2A",475,3201
"CDK2","UBE2A",487,3201
"CSNK1E","CSNK1E",632,632
"GSK3B","CEBPA",1164,512
"PRKCZ","NUMB",2307,1975
"PRKACA","PSEN1",2292,2334
"PRKCZ","PSEN1",2307,2334
"GSK3B","PSEN1",1164,2334
"CDK5","PSEN1",492,2334
"SRC","FHIT",2863,997
"MAPK1","RGS19",1638,2519
"PRKCA","RGS19",2299,2519
"CSNK2A2","RGS19",637,2519
"CSNK2A1","RGS19",636,2519
"PRKCA","RGS7",2299,2521
"CSNK1A1","PSEN2",629,2335
"CSNK1D","PSEN2",631,2335
"CSNK2A1","PSEN2",636,2335
"MAPKAPK2","TSC2",1654,3158
"RPS6KA1","TSC2",2588,3158
"MAPK1","TSC2",1638,3158
"AKT1","TSC2",88,3158
"SGK1","GSK3A",2688,1163
"PRKD3","GSK3A",2310,1163
"PRKCG","GSK3A",2303,1163
"PRKCB","GSK3A",2300,1163
"PRKCA","GSK3A",2299,1163
"PRKACA","GSK3A",2292,1163
"AKT1","GSK3A",88,1163
"PRKCD","GSK3A",2301,1163
"SGK3","GSK3A",2691,1163
"GSK3A","GSK3A",1163,1163
"SGK3","GSK3B",2691,1164
"PRKACA","GSK3B",2292,1164
"AKT1","GSK3B",88,1164
"PRKDC","LIG4",2311,1543
"ATM","MRE11",209,1751
"MAPK1","ERF",1638,919
"RPS6KA5","ETV1",2592,931
"PRKACA","ETV1",2292,931
"MAPKAPK2","ETV1",1654,931
"RPS6KA1","ETV1",2588,931
"PRKACA","VASP",2292,3258
"PRKG1","VASP",2312,3258
"CDK1","CDK7",475,496
"CDK2","CDK7",487,496
"MAPK1","TOB1",1638,3088
"MAPK1","SCNN1G",1638,2648
"ZAP70","DUSP3",3339,799
"PLK1","BRCA2",2196,299
"IRAK1","IRAK1",1366,1366
"IRAK4","IRAK1",1369,1366
"AKT1","IRAK1",88,1366
"SRC","CAV2",2863,384
"PRKCA","GPM6A",2299,1132
"ADRBK2","CCR5",59,420
"SRC","STAT5B",2863,2903
"EGFR","STAT5B",838,2903
"RPS6KA3","RPS6KA3",2590,2590
"TEC","BMX",3017,291
"BTK","BMX",312,291
"ITK","BMX",1394,291
"PTK2","BMX",2358,291
"SRC","BMX",2863,291
"FYN","CNN1",1050,590
"CDK8","CCNH",497,413
"JAK3","JAK3",1404,1404
"JAK1","STAT2",1402,2899
"CSNK2A2","GTF2A1",637,1169
"TAF1","GTF2A1",2980,1169
"CSNK2A1","GTF2A1",636,1169
"CDK1","KIF11",475,1468
"EGFR","VAV2",838,3260
"PRKACA","THOP1",2292,3049
"CDK1","HMGA2",475,1264
"PRKG1","CRIP2",2312,613
"CSNK2A1","NKX2-5",636,1901
"DAPK1","DAPK1",680,680
"MAPK1","DAPK1",1638,680
"GSK3B","ACLY",1164,26
"PRKACA","ACLY",2292,26
"LIMK1","LIMK1",1546,1546
"PAK1","LIMK1",2021,1546
"ROCK1","LIMK1",2558,1546
"CDC42BPA","LIMK1",457,1546
"ROCK1","LIMK2",2558,1547
"CDC42BPA","LIMK2",457,1547
"MAPK12","MAPK12",1641,1641
"MAP2K3","MAPK12",1609,1641
"MAP2K6","MAPK12",1612,1641
"MAP2K4","MAPK12",1610,1641
"CDK5","MAPK10",492,1639
"MAP2K4","MAPK10",1610,1639
"GSK3B","RCAN1",1164,2485
"MAPK3","RCAN1",1645,2485
"CSNK2A1","SUB1",636,2947
"CDK2","HIRA",487,1256
"AKT1","ATXN1",88,223
"ATM","TERF1",209,3021
"EPHB3","EPHB3",903,903
"EPHB1","EPHB1",901,901
"EPHA4","EPHA4",896,896
"CSNK2A1","EIF5",636,863
"OXSR1","SLC12A2",2009,2743
"PRKCB","RRAD",2300,2599
"PRKCA","RRAD",2299,2599
"CSNK2A1","RRAD",636,2599
"PRKACA","RRAD",2292,2599
"CAMK2G","RRAD",352,2599
"CSNK2A2","AQP4",637,141
"CSNK2A1","AQP4",636,141
"PRKCZ","CASP9",2307,377
"AKT1","CASP9",88,377
"MAPK3","CASP9",1645,377
"MAPK1","CASP9",1638,377
"MAP2K2","CASP9",1608,377
"MAP2K1","CASP9",1607,377
"ABL1","CASP9",12,377
"NUAK1","CASP6",1969,374
"CSNK2A2","BID",637,277
"CSNK1A1","BID",629,277
"CSNK1E","BID",632,277
"CSNK2A1","BID",636,277
"CSNK2A1","MAZ",636,1678
"CAMK4","HDAC4",353,1233
"PRKCB","EIF6",2300,864
"CSNK1E","PER3",632,2102
"CSNK1D","BACE1",631,237
"SRC","BCAR1",2863,256
"PTK2","BCAR1",2358,256
"PAK1","FOXL2",2021,1029
"CSNK2A2","PTEN",637,2351
"CSNK2A1","PTEN",636,2351
"AKT1","PTEN",88,2351
"STK11","PTEN",2912,2351
"PRKCA","SNAP25",2299,2802
"PRKACA","SNAP25",2292,2802
"TESK2","DSTN",3026,788
"CSNK2A1","GMFB",636,1111
"PRKCA","GMFB",2299,1111
"PRKACA","GMFB",2292,1111
"RPS6KA1","GMFB",2588,1111
"CDK1","RAB5B",475,2409
"PRKACA","RAP1B",2292,2440
"CSNK2A1","MAX",636,1677
"MAPK14","MAX",1643,1677
"PRKACA","RHOA",2292,2525
"PRKCG","STXBP1",2303,2943
"PRKCB","STXBP1",2300,2943
"PRKCA","STXBP1",2299,2943
"EGFR","PKIA",838,2171
"MAPK10","HNRNPK",1639,1283
"PRKCD","HNRNPK",2301,1283
"SRC","HNRNPK",2863,1283
"PAK2","RPS6",2022,2587
"PRKACA","RAP1A",2292,2439
"SRC","GRB2",2863,1142
"EGFR","GRB2",838,1142
"AKT1","RAC1",88,2412
"AKT1","YWHAZ",88,3336
"MAPK8","YWHAZ",1649,3336
"STK25","YWHAZ",2918,3336
"MAPKAPK2","YWHAZ",1654,3336
"PRKCD","YWHAZ",2301,3336
"CSNK1A1","YWHAZ",629,3336
"AKT1","YBX1",88,3324
"CDK1","CSNK2B",475,639
"PRKCD","EEF1A1",2301,830
"SYK","TUBA4A",2963,3179
"CDK1","CSNK2A1",475,636
"SYK","SH3BP2",2963,2699
"JAK2","SIRPA",1403,2726
"PRKG1","GTF2I",2312,1172
"JAK2","GTF2I",1403,1172
"SRC","GTF2I",2863,1172
"BTK","GTF2I",312,1172
"PRKACA","ASIC1",2292,191
"PRKDC","PRKDC",2311,2311
"MAP3K9","MAP3K9",1629,1629
"CDK4","SMAD3",491,2782
"CDK2","SMAD3",487,2782
"MAPK1","SMAD3",1638,2782
"MAPK14","SMAD3",1643,2782
"MAP3K7","SMAD3",1627,2782
"CSNK2A2","ERH",637,921
"CSNK2A1","ERH",636,921
"MAPK9","H3-3A",1652,1211
"PRKCG","DAB2",2303,673
"PRKCB","DAB2",2300,673
"PRKCD","DAB2",2301,673
"AKT1","XIAP",88,3310
"AKT2","XIAP",90,3310
"AKT1","FOXO4",88,1034
"AKT2","FOXO4",90,1034
"CDK3","CDK3",490,490
"CSNK1D","CDK5",631,492
"ABL1","CDK5",12,492
"FYN","CDK5",1050,492
"PRKACA","CDK16",2292,483
"CDK16","CDK16",483,483
"CDK5","CDK16",492,483
"CDK17","CDK17",484,484
"CAMK2A","HSF1",349,1294
"GSK3A","HSF1",1163,1294
"MAPK3","HSF1",1645,1294
"MAPK8","HSF1",1649,1294
"CSNK2A1","HSF1",636,1294
"MAP3K14","NFKB2",1619,1885
"AKT1","MDM2",88,1697
"ATM","MDM2",209,1697
"ABL1","MDM2",12,1697
"CSNK2A1","SPTBN1",636,2859
"PRKACA","SPTBN1",2292,2859
"ATM","E2F1",209,816
"ATR","E2F1",221,816
"CDK1","E2F1",475,816
"CHEK2","E2F1",553,816
"CDK7","E2F1",496,816
"HIPK2","RUNX1",1253,2617
"CSNK2A1","TSPY1",636,3159
"PLK1","MYT1",2196,1804
"PRKCA","ATP2B2",2299,215
"PRKCA","EWSR1",2299,936
"CSNK2A2","SPIB",637,2849
"CSNK2A1","SPIB",636,2849
"MAPK3","SPIB",1645,2849
"PRKG2","PLCB3",2313,2183
"PRKG1","PLCB3",2312,2183
"CAMK2B","PLCB3",350,2183
"CAMK2G","PLCB3",352,2183
"PRKCD","TAGLN",2301,2984
"MAPK7","MEF2A",1648,1705
"CDK5","MEF2A",492,1705
"MAPK14","MEF2A",1643,1705
"PRKCE","PRKCE",2302,2302
"PDPK1","PRKCE",2089,2302
"CDK2","ID2",487,1318
"CDK2","ID3",487,1319
"CDK1","H1-1",475,1182
"RAF1","MAP2K1",2424,1607
"ARAF","MAP2K1",145,1607
"BRAF","MAP2K1",297,1607
"PAK1","MAP2K1",2021,1607
"MAP2K1","MAP2K1",1607,1607
"CDK5","MAP2K1",492,1607
"MAPK1","MAP2K1",1638,1607
"TEK","TEK",3018,3018
"CSNK2A1","FKBP4",636,1003
"CSNK1A1","CREM",629,611
"CDK1","CREM",475,611
"CSNK2A2","CREM",637,611
"CSNK2A1","CREM",636,611
"GSK3A","CREM",1163,611
"GSK3B","CREM",1164,611
"PRKCA","CREM",2299,611
"PRKACA","CREM",2292,611
"CAMK2G","CREM",352,611
"CAMK2D","CREM",351,611
"CSNK2A2","CAV1",637,383
"CSNK2A1","CAV1",636,383
"SRC","CAV1",2863,383
"PRKG2","PTS",2313,2382
"PRKACA","RELA",2292,2495
"PRKCZ","RELA",2307,2495
"CHUK","RELA",563,2495
"CSNK2A1","RELA",636,2495
"GSK3B","NOTCH2",1164,1921
"PRKCQ","PRKCQ",2306,2306
"LCK","PRKCQ",1530,2306
"MST1R","MST1R",1757,1757
"CDK5","DNM1",492,762
"PRKCA","DNM1",2299,762
"SRC","DNM1",2863,762
"PRKCA","PTPN12",2299,2366
"PRKACA","PTPN12",2292,2366
"PTK2","PTK2",2358,2358
"SRC","PTK2",2863,2358
"PTK2B","PTK2",2359,2358
"INSR","PTK2",1359,2358
"RET","PTK2",2502,2358
"PRKACA","LIPE",2292,1552
"MAPK3","LIPE",1645,1552
"MAPK1","LIPE",1638,1552
"PDPK1","PRKCZ",2089,2307
"PRKCZ","PRKCZ",2307,2307
"PRKCD","PRKCD",2301,2301
"PRKCZ","PRKCD",2307,2301
"PDPK1","PRKCD",2089,2301
"LYN","PRKCD",1583,2301
"LCK","PRKCD",1530,2301
"CDK1","CALD1",475,341
"CSNK2A2","SLC18A2",637,2749
"CSNK1A1","SLC18A2",629,2749
"CSNK2A1","SLC18A2",636,2749
"PRKCB","PTPN11",2300,2365
"PRKCA","PTPN11",2299,2365
"PRKCH","PTPN11",2304,2365
"PDGFRB","PTPN11",2078,2365
"PRKCB","BTK",2300,312
"ABL1","BTK",12,312
"TEC","BTK",3017,312
"BTK","BTK",312,312
"ITK","BTK",1394,312
"LYN","BTK",1583,312
"SYK","BTK",2963,312
"PRKCA","GFPT1",2299,1088
"MAPK7","MEF2C",1648,1707
"MAPK14","MEF2C",1643,1707
"CDK1","MEF2C",475,1707
"CSNK2A1","MEF2C",636,1707
"PRKCA","APLP2",2299,132
"CDK1","APLP2",475,132
"CHEK1","RAD51",552,2420
"ABL1","RAD51",12,2420
"PRKACA","PDE4B",2292,2071
"PRKCA","SPAG1",2299,2838
"MAPK1","KHDRBS1",1638,1465
"CDK1","KHDRBS1",475,1465
"PTK6","KHDRBS1",2360,1465
"GSK3A","MCL1",1163,1684
"GSK3B","MCL1",1164,1684
"MAPK1","MCL1",1638,1684
"MAPK3","PPARA",1645,2230
"MAPK1","PPARA",1638,2230
"MAPK1","SOS1",1638,2831
"FYN","TNK2",1050,3081
"PRKACA","LRP1",2292,1567
"SRC","LRP1",2863,1567
"CDK1","FOXM1",475,1030
"CDK2","FOXM1",487,1030
"PRKACA","CACNB2",2292,338
"DDR1","DDR1",708,708
"CDK1","GOLGA2",475,1123
"PRKACA","DMTN",2292,756
"PRKACA","PDE4D",2292,2073
"ITK","ITK",1394,1394
"LCK","ITK",1530,1394
"CSNK2A1","SSRP1",636,2888
"AURKB","NSUN2",229,1965
"AKT1","EP300",88,886
"PRKCD","EP300",2301,886
"AKT1","FOXO1",88,1032
"PAK1","FOXO1",2021,1032
"CSNK1G1","FOXO1",633,1032
"GSK3B","FOXO1",1164,1032
"DYRK1A","FOXO1",811,1032
"PRKACA","CETN1",2292,537
"PRKACA","KCNH2",2292,1433
"BUB1","CDC20",315,447
"MERTK","MERTK",1714,1714
"CDK5","GRIN2A",492,1151
"CAMK2B","GRIN2A",350,1151
"CAMK2A","GRIN2A",349,1151
"PRKCA","GRIN2A",2299,1151
"SRC","GRIN2A",2863,1151
"ATM","TP53BP1",209,3098
"CAMK2A","DLG1",349,745
"MAPK9","NFATC3",1652,1879
"CSNK1A1","NFATC3",629,1879
"PRKACA","PPP1R8",2292,2266
"CSNK2A2","PPP1R8",637,2266
"CSNK2A1","PPP1R8",636,2266
"LYN","PPP1R8",1583,2266
"PRKAA1","GRIK2",2289,1149
"STK4","STK4",2931,2931
"PRKAA1","ACACA",2289,16
"CSNK2A2","ACACA",637,16
"CSNK2A1","ACACA",636,16
"PRKAA2","ACACA",2290,16
"TXK","LCP2",3189,1532
"ZAP70","LCP2",3339,1532
"LCK","LCP2",1530,1532
"CSNK1A1","EIF2B5",629,848
"GSK3B","EIF2B5",1164,848
"GSK3A","EIF2B5",1163,848
"CSNK2A2","EIF2B5",637,848
"CSNK2A1","EIF2B5",636,848
"PAK1","PAK1",2021,2021
"CDK5","PAK1",492,2021
"PDPK1","PAK1",2089,2021
"OXSR1","PAK1",2009,2021
"CSNK1A1","FADD",629,948
"HIPK3","FADD",1254,948
"PAK2","PAK2",2022,2022
"SRC","PAK2",2863,2022
"STK3","STK3",2920,2920
"PRKCG","GRIN2B",2303,1152
"PRKCB","GRIN2B",2300,1152
"PRKCA","GRIN2B",2299,1152
"CAMK2B","GRIN2B",350,1152
"CAMK2A","GRIN2B",349,1152
"FYN","GRIN2B",1050,1152
"SRC","GRIN2B",2863,1152
"SYK","IL15RA",2963,1339
"MAPK1","NR5A1",1638,1949
"FYN","SLAMF1",1050,2739
"ATM","ATM",209,209
"MAPK1","GRB10",1638,1140
"FYN","GRB10",1050,1140
"SRC","GRB10",2863,1140
"PRKACA","KLF1",2292,1490
"AKT1","PDE3B",88,2069
"PRKACA","PDE3B",2292,2069
"PRKCA","PLD1",2299,2186
"CDK2","ORC1",487,1999
"ILK","ILK",1347,1347
"MAPK12","SNTA1",1641,2814
"MAPK3","GAB1",1645,1057
"MAPK1","GAB1",1638,1057
"INSR","GAB1",1359,1057
"EGFR","GAB1",838,1057
"MET","GAB1",1715,1057
"MAPK1","SMAD4",1638,2783
"PRKG1","TRPC3",2312,3142
"PRKCA","TRPC3",2299,3142
"CSNK2A2","EIF4EBP1",637,858
"CSNK2A1","EIF4EBP1",636,858
"ATM","EIF4EBP1",209,858
"RPS6KA5","EIF4EBP1",2592,858
"MAPK1","EIF4EBP1",1638,858
"AKT1","EIF4EBP1",88,858
"MTOR","EIF4EBP1",1765,858
"MAPK14","EIF4EBP1",1643,858
"CSNK2A2","HDAC1",637,1230
"CSNK2A1","HDAC1",636,1230
"CAMK2B","CAMK2B",350,350
"CAMK2D","CAMK2D",351,351
"PRKCA","DGKZ",2299,733
"DYRK1A","DYRK1A",811,811
"JAK1","IL10RA",1402,1338
"PRKCA","THOC5",2299,3048
"SRC","SPTAN1",2863,2858
"PTK6","PTK6",2360,2360
"TTBK1","TUBB2A",3168,3181
"PRKCD","KLF5",2301,1495
"HCK","RAPGEF1",1225,2443
"PRKACA","CACNA1C",2292,333
"PRKACA","RASGRF1",2292,2452
"PRKCA","PRKG1",2299,2312
"CSNK2A2","IL16",637,1340
"CSNK2A1","IL16",636,1340
"CDK1","IL16",475,1340
"CAMK1","CAMK1",346,346
"CAMKK2","CAMK1",355,346
"GSK3B","HNRNPD",1164,1279
"PRKACA","HNRNPD",2292,1279
"ATM","WRN",209,3302
"SRC","CTTN",2863,654
"FER","CTTN",980,654
"PTK2B","PTK2B",2359,2359
"PRKACA","GNA13",2292,1116
"PRKCA","HES1",2299,1242
"PRKACA","KCNJ12",2292,1437
"ATM","SMC1A",209,2791
"SRC","KCNB1",2863,1426
"PRKACA","GNMT",2292,1122
"MAP2K6","STAT4",1612,2901
"MAPK14","STAT4",1643,2901
"MAPK7","MEF2D",1648,1708
"CDK7","LASP1",496,1523
"PRKG2","LASP1",2313,1523
"MAPK14","NFATC4",1643,1880
"PRKACA","NOLC1",2292,1914
"MAPK14","EEA1",1643,829
"PRKCD","NCF4",2301,1823
"PDK1","PDK1",2084,2084
"PRKCA","PEA15",2299,2094
"AKT1","PEA15",88,2094
"CAMK2G","PEA15",352,2094
"PRKD1","PRKD1",2308,2308
"PRKCH","PRKD1",2304,2308
"ABL1","PRKD1",12,2308
"SRC","PRKD1",2863,2308
"CDK1","PLEC",475,2188
"EIF2AK2","PPP2R5A",845,2273
"STK38","STK38",2928,2928
"PRKCA","RALBP1",2299,2430
"RPS6KA2","RPS6KA2",2589,2589
"FYN","CNN3",1050,592
"PDPK1","RPS6KA1",2089,2588
"MAPK1","RPS6KA1",1638,2588
"RPS6KA1","RPS6KA1",2588,2588
"PRKCD","CYTH1",2301,669
"TESK1","TESK1",3025,3025
"PRKG1","SF1",2312,2683
"IKBKB","NFKBIB",1333,1887
"CHUK","NFKBIB",563,1887
"GRK6","LTB4R",1157,1577
"PAK2","MYLK",2022,1791
"CAMK2G","MYLK",352,1791
"PAK1","MYLK",2021,1791
"MAPK1","NCOA1",1638,1828
"CAMK2A","SMAD2",349,2781
"MAPK1","SMAD2",1638,2781
"ACVR1B","SMAD2",37,2781
"TGFBR1","SMAD2",3041,2781
"MAPK3","SMAD2",1645,2781
"MAPK1","SMAD1",1638,2780
"TGFBR1","SMAD1",3041,2780
"ACVR1","SMAD1",36,2780
"RPS6KA5","STK11",2592,2912
"PRKACA","STK11",2292,2912
"RPS6KB1","STK11",2594,2912
"RPS6KA3","STK11",2590,2912
"STK11","STK11",2912,2912
"ATM","STK11",209,2912
"GRK1","GRK1",1154,1154
"AKT1","EZH2",88,942
"GRK5","SNCB",1156,2807
"MAPK3","CCDC6",1645,399
