"Kinase","Substrate","Group"
"ATR","CREB1","ATYPICAL"
"AKT2","CREB1","AGC"
"CAMK4","CREB1","CAMK"
"AKT3","CREB1","AGC"
"CAMK2A","CREB1","CAMK"
"HIPK2","CREB1","CMGC"
"FES","PECAM1","TK"
"ABL1","NCK1","TK"
"SRC","UGT2B7","TK"
"CAMK2B","STMN1","CAMK"
"CAMK2A","STMN1","CAMK"
"PRKCB","STMN1","AGC"
"CDK5","STMN1","CMGC"
"UHMK1","STMN1","OTHER"
"CDK2","HMGA1","CMGC"
"PRKCD","HMGA1","AGC"
"PRKCA","PRKCA","AGC"
"PRKCD","SMPD1","AGC"
"MAPK3","JUND","CMGC"
"MAPK1","JUND","CMGC"
"PRKACA","TAL1","AGC"
"MAP2K1","TAL1","STE"
"UHMK1","SYN1","OTHER"
"PRKAA1","SYN1","CAMK"
"GSK3B","CEBPB","CMGC"
"ABL1","CEBPB","TK"
"ABL2","CEBPB","TK"
"PRKCA","CTPS1","AGC"
"ABL2","LGALS3","TK"
"PKN1","PGAM1","AGC"
"CDK2","LIG1","CMGC"
"CDK1","LIG1","CMGC"
"CHEK2","XRCC1","CAMK"
"PRKCA","GNAZ","AGC"
"PRKCA","PLCG1","AGC"
"PRKACA","PLCG1","AGC"
"RPS6KA5","ELK1","AGC"
"MAPK8","ELK1","CMGC"
"PRPF4B","ELK1","CMGC"
"PRKACA","TNNI3","AGC"
"PRKG1","TNNI3","AGC"
"PRKCG","TNNI3","AGC"
"PRKCB","TNNI3","AGC"
"MAPK1","TFEB","CMGC"
"PRKACA","WT1","AGC"
"RPS6KA1","SLC9A1","AGC"
"PRKACA","RXRA","AGC"
"CHEK1","NFKB1","CAMK"
"CDK2","CCNA2","CMGC"
"GSK3B","NR1D1","CMGC"
"MAK","MAK","CMGC"
"ATM","HNF1A","ATYPICAL"
"CDK7","CDK11B","CMGC"
"CDK11A","CDK11B","CMGC"
"PRKACA","FLNA","AGC"
"RPS6KA1","FLNA","AGC"
"PRKCA","ACO1","AGC"
"PRKCB","C5AR1","AGC"
"PRKCD","C5AR1","AGC"
"PRKACA","TBXA2R","AGC"
"NEK1","VDAC1","OTHER"
"EGFR","ERBB3","TK"
"NTRK2","KCNA3","TK"
"GSK3A","SFPQ","CMGC"
"GSK3B","SFPQ","CMGC"
"ALK","SFPQ","TK"
"PRKCA","CFL1","AGC"
"ILK","CFL1","TKL"
"SRC","CFL1","TK"
"PTK2","ATP2B4","TK"
"CAMK2A","ITPKA","CAMK"
"CHUK","CCND1","OTHER"
"DYRK1A","CCND1","CMGC"
"FGFR1","ACAT1","TK"
"FLT3","ACAT1","TK"
"ROCK1","MYL9","AGC"
"MYLK","MYL9","CAMK"
"PRKCA","MYL9","AGC"
"BRD4","POLR2A","ATYPICAL"
"CDK12","POLR2A","CMGC"
"MAPK1","CDK2","CMGC"
"CDK2","ADRBK1","CMGC"
"SRC","ADRBK1","TK"
"CDK2","MCM3","CMGC"
"CSNK2A1","YY1","CMGC"
"AURKB","YY1","OTHER"
"PLK1","YY1","OTHER"
"MAPKAPK5","DNAJB1","CAMK"
"RPS6KA2","NFKBIA","AGC"
"MAP3K7","PTPN3","TKL"
"CDK1","DNMT1","CMGC"
"CDK2","DNMT1","CMGC"
"CDK5","DNMT1","CMGC"
"CSNK2A1","YWHAQ","CMGC"
"LCK","MAPK3","TK"
"STK11","MARK3","CAMK"
"PIM1","MARK3","CAMK"
"RPS6KB1","CAD","AGC"
"SRC","EPHA2","TK"
"CDK2","ARID4A","CMGC"
"AKT1","TKT","AGC"
"CDK5","NOS3","CMGC"
"PRKACG","NOS3","AGC"
"AKT2","NOS3","AGC"
"AKT3","NOS3","AGC"
"PRKCG","NOS3","AGC"
"PRKCB","NOS3","AGC"
"PRKCA","NOS3","AGC"
"PRKCH","NOS3","AGC"
"PRKCI","NOS3","AGC"
"PRKCE","NOS3","AGC"
"PRKCQ","NOS3","AGC"
"PRKCZ","NOS3","AGC"
"PRKCD","NOS3","AGC"
"PTK2B","NOS3","TK"
"CHEK2","PML","CAMK"
